id,gid,"date",newcount,"version",step,retention,retentionrate
1,1,"2017-12-02 00:00:00",78,"ios-0.2.40",1,27,0.346154
2,1,"2017-12-02 00:00:00",67,"android-0.2.41",1,22,0.328358
3,1,"2017-12-02 00:00:00",89,"android-0.2.40",1,20,0.224719
4,1,"2017-12-02 00:00:00",5,"android-0.2.43",1,2,0.4
5,1,"2017-12-02 00:00:00",54,"android-0.2.42",1,24,0.444444
6,1,"2017-12-02 00:00:00",13,"android-0.2.31",1,7,0.538462
7,1,"2017-12-02 00:00:00",1,"android-0.1.12",1,0,0
8,1,"2017-12-02 00:00:00",27,"android-0.2.44",1,13,0.481481
9,1,"2017-12-02 00:00:00",78,"ios-0.2.40",2,21,0.269231
10,1,"2017-12-02 00:00:00",67,"android-0.2.41",2,13,0.19403
11,1,"2017-12-02 00:00:00",89,"android-0.2.40",2,20,0.224719
12,1,"2017-12-02 00:00:00",5,"android-0.2.43",2,3,0.6
13,1,"2017-12-02 00:00:00",54,"android-0.2.42",2,18,0.333333
14,1,"2017-12-02 00:00:00",13,"android-0.2.31",2,5,0.384615
15,1,"2017-12-02 00:00:00",1,"android-0.1.12",2,0,0
16,1,"2017-12-02 00:00:00",27,"android-0.2.44",2,12,0.444444
17,1,"2017-12-02 00:00:00",78,"ios-0.2.40",3,17,0.217949
18,1,"2017-12-02 00:00:00",67,"android-0.2.41",3,12,0.179104
19,1,"2017-12-02 00:00:00",89,"android-0.2.40",3,16,0.179775
20,1,"2017-12-02 00:00:00",5,"android-0.2.43",3,1,0.2
21,1,"2017-12-02 00:00:00",54,"android-0.2.42",3,22,0.407407
22,1,"2017-12-02 00:00:00",13,"android-0.2.31",3,4,0.307692
23,1,"2017-12-02 00:00:00",1,"android-0.1.12",3,0,0
24,1,"2017-12-02 00:00:00",27,"android-0.2.44",3,8,0.296296
25,1,"2017-12-02 00:00:00",78,"ios-0.2.40",4,10,0.128205
26,1,"2017-12-02 00:00:00",67,"android-0.2.41",4,16,0.238806
27,1,"2017-12-02 00:00:00",89,"android-0.2.40",4,14,0.157303
28,1,"2017-12-02 00:00:00",5,"android-0.2.43",4,2,0.4
29,1,"2017-12-02 00:00:00",54,"android-0.2.42",4,21,0.388889
30,1,"2017-12-02 00:00:00",13,"android-0.2.31",4,5,0.384615
31,1,"2017-12-02 00:00:00",1,"android-0.1.12",4,0,0
32,1,"2017-12-02 00:00:00",27,"android-0.2.44",4,7,0.259259
33,1,"2017-12-02 00:00:00",78,"ios-0.2.40",5,18,0.230769
